run_id,model,scenario,region,variable,unit,n_years,first_year,last_year,first_val,last_val,min_val,max_val,mean_val,sd_val,max_abs_step,max_rel_step,mean_log_growth,max_log_growth,slope,mean_abs_2nd_diff,range_val,abs_first_val,abs_last_val,log1p_mean_abs,log1p_max_abs,log1p_range,flag
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Emi_CO2_Ene_and_Ind_Pro,Mt CO2/yr,17,2020,2100,4559.94,875.78,868.001,5172.16,1799.8477647058824,1431.8866158816281,1231.0099999999998,0.32307967389099207,-0.10312186416778557,0.1259809306943147,-46.26100294117634,239.68993333333333,4304.159,4559.94,875.78,7.49601281339996,10.730146750532898,8.367569349977705,red
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Fin_Ene,EJ/yr,17,2020,2100,61.5432,60.7399,54.6759,69.2863,59.52700588235294,3.3993420651043977,8.741499999999995,0.12616491283269557,-8.211596242085339e-4,0.11850782821264261,-4.4936274509827146e-4,1.8833066666666667,14.610399999999998,61.5432,60.7399,4.103089643660385,10.730146750532898,2.747937358798652,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,GDP_MER,billion USD_2010/yr,17,2020,2100,16861.7,45712.4,16861.7,45712.4,32572.441176470587,9265.628901082404,2371.7999999999993,0.14066197358510701,0.06233280112682815,0.13160877246126113,366.0551470588218,120.48666666666564,28850.7,16861.7,45712.4,10.391252547477986,10.730146750532898,10.269924195676811,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Pop,million,17,2020,2100,332.974,381.51,332.974,392.451,373.5558823529412,19.462457504392766,7.828000000000031,0.023056894093806426,0.008504540865415688,0.022795100372992927,0.6852318627450962,1.0006000000000048,59.47700000000003,332.974,381.51,5.9257410103912225,10.730146750532898,4.102263127466397,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prc_Prm_Ene_Oil,USD_2010/GJ,17,2020,2100,8.39596,10.6693,7.17113,10.6693,8.527821764705882,1.0706309088583894,0.9799900000000008,0.1119504945292206,0.014976238805586017,0.0996862499040474,0.020501803921568452,0.29160533333333377,3.49817,8.39596,10.6693,2.2542161254029973,10.730146750532898,1.5036706473982937,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prc_Sec_Ene_Ele,USD_2010/GJ,17,2020,2100,33.0374,21.2567,21.2567,33.0374,24.484017647058824,4.019926932363836,2.9055999999999997,0.09441675169460131,-0.02756050707931787,-0.002735100921238409,-0.13628240196078395,0.3971399999999993,11.7807,33.0374,21.2567,3.2380514967300194,10.730146750532898,2.5479362205323404,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene,EJ/yr,17,2020,2100,80.0079,71.5052,63.8708,89.8602,71.07521176470588,6.214304989888489,15.77130000000001,0.1755092910988403,-0.007022200341889495,0.11612974952551358,-0.06189573529411803,3.3260933333333336,25.989400000000003,80.0079,71.5052,4.277710181636083,10.730146750532898,3.2954441963270886,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene_Bio,EJ/yr,17,2020,2100,6.09839,4.17118,4.17118,6.60846,4.917195882352941,0.891187557665745,2.05635,0.37651975154356127,-0.023739114532117883,0.31955839460296165,-0.023200666666666574,1.0384786666666668,2.4372800000000003,6.09839,4.17118,1.7778626681580807,10.730146750532898,1.2346804609446025,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene_Coa,EJ/yr,17,2020,2100,9.06793,2.81537,2.62779,11.7749,4.499761176470589,3.007612876732315,3.1257099999999998,0.41339679641202737,-0.07310314509293671,0.2612261341349513,-0.09302397549019563,0.6590793333333335,9.147110000000001,9.06793,2.81537,1.70470466883575,10.730146750532898,2.317188935880741,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene_Fos,EJ/yr,17,2020,2100,67.9233,13.03,13.03,75.6543,27.21294705882353,20.61261790488164,19.560500000000005,0.2755683529231895,-0.10319529601615543,0.10779515193756595,-0.6744712745098019,3.3499333333333348,62.624300000000005,67.9233,13.03,3.3397809881438842,10.730146750532898,4.152995472845529,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene_Fos_wo_CCS,EJ/yr,17,2020,2100,67.9233,13.03,13.03,75.6543,27.21294705882353,20.61261790488164,19.560500000000005,0.2755683529231895,-0.10319529601615543,0.10779515193756595,-0.6744712745098019,3.3499333333333348,62.624300000000005,67.9233,13.03,3.3397809881438842,10.730146750532898,4.152995472845529,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene_Gas,EJ/yr,17,2020,2100,27.6698,2.32449,2.32449,27.6698,8.100071176470589,8.560295291821044,7.903000000000002,0.3876132575222022,-0.1548025565993175,0.00982177192263678,-0.28045986764705844,1.2170320000000003,25.345309999999998,27.6698,2.32449,2.2082822350823905,10.730146750532898,3.271290270530717,green
2026.1.20,AIMHub,SSP1 - Medium Emissions,USA,Prm_Ene_NonBioRen,EJ/yr,17,2020,2100,2.91109,52.8647,2.91109,52.8647,36.34289647058824,17.674661156809325,9.768700000000003,1.3154801919376895,0.18120051486500804,0.8396170923513082,0.6492622941176447,1.269259333333334,49.95361,2.91109,52.8647,3.620142705286961,10.730146750532898,3.930915610936937,green
