run_id,model,scenario,region,variable,unit,n_years,first_year,last_year,first_val,last_val,min_val,max_val,mean_val,sd_val,max_abs_step,max_rel_step,mean_log_growth,max_log_growth,slope,mean_abs_2nd_diff,range_val,abs_first_val,abs_last_val,log1p_mean_abs,log1p_max_abs,log1p_range,pred_flag,p_green,p_yellow,p_red,p_risky
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Emi_CO2_Agg___FFI,Mt CO2/yr,17,2020,2100,4559.94,875.78,868.001,5172.16,1799.8477647058824,1431.8866158816281,1231.0099999999998,0.32307967389099207,-0.10312186416778557,0.1259809306943147,-46.26100294117634,239.68993333333333,4304.159,4559.94,875.78,7.49601281339996,12.247497658198434,8.367569349977705,red,0.4965833333333332,0,0.5034166666666667,0.5034166666666667
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Emi_CO2_Ene,Mt CO2/yr,17,2020,2100,4424.46,684.12,677.684,5029.91,1630.7908823529413,1447.4899518859743,1235.94,0.3426022342598606,-0.11667313595409329,0.12825385419259128,-46.949857843137124,239.6828,4352.226,4424.46,684.12,7.397433391500809,12.247497658198434,8.378672458421915,red,0.4965833333333332,0,0.5034166666666667,0.5034166666666667
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Emi_Kyo_Gas,Mt CO2-equiv/yr,17,2020,2100,6349.28,1871.57,1769.67,6956.69,2871.211764705882,1757.5846479516829,1491.1299999999992,0.28080210068199224,-0.0763477356146095,0.09136236586299518,-55.085558823529276,284.9193333333332,5187.0199999999995,6349.28,1871.57,7.962837661678948,12.247497658198434,8.554107400479019,red,0.49991666666666656,0,0.5000833333333334,0.5000833333333334
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Emi_CO2,Mt CO2/yr,17,2020,2100,4640.26,432.515,344.379,5249.51,1412.5053529411764,1666.6820300134466,1339.7200000000003,0.5132822566950686,-0.1483067918926086,0.17672811729753501,-53.189552941176316,269.3340666666667,4905.131,4640.26,432.515,7.253827964138273,12.247497658198434,8.498240926459497,green,0.5663888888888888,0,0.4336111111111112,0.4336111111111112
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Ene_Ser_Tra_Fre,billion tkm/yr,17,2020,2100,5438.08,2340.78,2340.78,5972.52,4181.910588235294,1172.5613405301585,534.4400000000005,0.0982773331764153,-0.05268386563957839,0.0937428915006926,-45.966622549019284,59.838666666666875,3631.7400000000002,5438.08,2340.78,8.33876259618035,12.247497658198434,8.197742463461486,green,0.5990555555555555,0,0.40094444444444455,0.40094444444444455
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Emi_CO2_Ene_Dem,Mt CO2/yr,17,2020,2100,2632.17,517.732,513.105,2982.59,1129.3899411764705,867.4058434780883,714.8099999999997,0.3334826239695446,-0.10163163413545662,0.12498344951856932,-29.079036764705776,166.54366666666664,2469.485,2632.17,517.732,7.030317932866882,12.247497658198434,7.812169766621956,green,0.6005555555555555,0,0.3994444444444445,0.3994444444444445
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Cap_Sto,billion USD_2010/yr,17,2020,2100,61059.2,208458,61059.2,208458,134624.8705882353,47681.46973176221,9866,0.1280642392956344,0.07674335604653248,0.12050310118446461,1888.0667647058715,250.16666666666666,147398.8,61059.2,208458,11.81025488120276,12.247497658198434,11.90090390188435,green,0.60075,0,0.39925000000000005,0.39925000000000005
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,GDP_PPP,billion USD_2010/yr,17,2020,2100,18805.6,50982.4,18805.6,50982.4,36327.55882352941,10333.805811211256,2645.300000000003,0.14066554643297757,0.06233286108149427,0.1316119047145996,408.25539215686064,134.36666666666716,32176.800000000003,18805.6,50982.4,10.5003594553816,12.247497658198434,10.379032052764975,green,0.6574166666666668,0,0.3425833333333334,0.3425833333333334
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Ene_Ser_Tra_Pss,billion pkm/yr,17,2020,2100,9627.04,12724.9,9627.04,12952.9,12109.072941176471,973.8336386144495,960.5599999999995,0.099777293955359,0.01743655613072237,0.09510769926594165,34.33758823529408,74.27066666666651,3325.8599999999988,9627.04,12724.9,9.401792859747534,12.247497658198434,8.10978419518118,green,0.6690833333333334,0,0.3309166666666668,0.3309166666666668
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Cns,billion USD_2010/yr,17,2020,2100,14230.7,38140.3,14230.7,38140.3,27192.964705882354,7674.328337136512,2023.199999999999,0.1421715024559578,0.06161686644743647,0.13293127724026377,303.2968137254887,109.7599999999995,23909.600000000002,14230.7,38140.3,10.210750341850641,12.247497658198434,10.082077154240405,green,0.6790833333333333,0,0.32091666666666674,0.32091666666666674
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Cap_For,billion USD_2010/yr,17,2020,2100,3568.31,9604.11,3568.31,9604.11,6853.957058823529,1938.267069177919,498.28999999999996,0.13964313638669285,0.061881189843921325,0.1307151751424147,76.57804411764668,25.221999999999994,6035.800000000001,3568.31,9604.11,8.832727327764326,12.247497658198434,8.705629349210046,green,0.6890555555555555,0,0.31094444444444447,0.31094444444444447
2026/1/21,AIMHub,SSP1 - Medium Emissions,USA,Inv_All,billion USD_2010/yr,17,2020,2100,3568.31,9604.11,3568.31,9604.11,6853.957058823529,1938.267069177919,498.28999999999996,0.13964313638669285,0.061881189843921325,0.1307151751424147,76.57804411764668,25.221999999999994,6035.800000000001,3568.31,9604.11,8.832727327764326,12.247497658198434,8.705629349210046,green,0.6890555555555555,0,0.31094444444444447,0.31094444444444447
